问题id,问题,实体答案,final_ans1,ans_list
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价-前一日收盘价/前一日收盘价）*100%。,N_A,N_A,[]
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司,"湖南长远锂科股份有限公司由以下14家法人作为发起人整体变更设立股份有限公司：五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色股份、金新矿业、兴发集团、李家沟矿业、刘益良。
湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色控股、株式会社日本矿业、长沙矿治研究院、深圳市华建湘江投资有限公司、湖南有色产业投资集团有限责任公司。
湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。
湖南长远锂科股份有限公司是由锂科有限整体变更设立的。
湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院和宁波创元。
湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司、长沙矿冶研究院有限责任公司、鲁中冶金矿业集团有限公司、湖南省国有资产监督管理委员会以及湖南有色产业投资集团有限责任公司。
湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司和长沙矿冶研究院有限责任公司。
湖南长远锂科股份有限公司变更设立时的发起人有长沙矿冶院和金瑞科技。
湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶研究院和金瑞科技。
","['湖南长远锂科股份有限公司由以下14家法人作为发起人整体变更设立股份有限公司：五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色股份、金新矿业、兴发集团、李家沟矿业、刘益良。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人有五矿有色控股、株式会社日本矿业、长沙矿治研究院、深圳市华建湘江投资有限公司、湖南有色产业投资集团有限责任公司。', '湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金。', '湖南长远锂科股份有限公司是由锂科有限整体变更设立的。', '湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院和宁波创元。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司、长沙矿冶研究院有限责任公司、鲁中冶金矿业集团有限公司、湖南省国有资产监督管理委员会以及湖南有色产业投资集团有限责任公司。', '湖南长远锂科股份有限公司变更设立时作为发起人的法人包括中国五矿股份有限公司和长沙矿冶研究院有限责任公司。', '湖南长远锂科股份有限公司变更设立时的发起人有长沙矿冶院和金瑞科技。', '湖南长远锂科股份有限公司变更设立时的发起人包括长沙矿冶研究院和金瑞科技。']"
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,N_A,N_A,[]
3,请查询在2021年度，688338股票涨停天数？解释：（收盘价/昨日收盘价-1）》=9.8%视作涨停,N_A,N_A,[]
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,N_A,N_A,[]
5,嘉实基金管理有限公司2019年成立了多少基金?,N_A,N_A,[]
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,云南沃森生物技术股份有限公司,"云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的主要部门是工艺研究部和研发管理部。
云南沃森生物技术股份有限公司设科学委员会，由首席科学家和核心技术人员组成，负责研发项目的立项筛选、可行性研究和评审，并制订和论证项目的技术路线。因此，该公司的研发部门为科学委员会。
云南沃森生物技术股份有限公司负责产品研发的是研发中心。
云南沃森生物技术股份有限公司负责产品研发的是科学委员会。
云南沃森生物技术股份有限公司负责产品研发的部门是科学委员会和研发中心。
云南沃森生物技术股份有限公司负责产品研发的项目管理部门是质量控制部和制剂与佐剂研究室。
","['云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的主要部门是工艺研究部和研发管理部。', '云南沃森生物技术股份有限公司设科学委员会，由首席科学家和核心技术人员组成，负责研发项目的立项筛选、可行性研究和评审，并制订和论证项目的技术路线。因此，该公司的研发部门为科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的是研发中心。', '云南沃森生物技术股份有限公司负责产品研发的是科学委员会。', '云南沃森生物技术股份有限公司负责产品研发的部门是科学委员会和研发中心。', '云南沃森生物技术股份有限公司负责产品研发的项目管理部门是质量控制部和制剂与佐剂研究室。']"
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,N_A,N_A,[]
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里,成交金额(元)最多的股票的代码是什么？成交金额是多少？",N_A,N_A,[]
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,N_A,N_A,[]
